Rank,Artist_Name,Song_Title,Weeks_On_Chart
10,Glass Animals,Heat Waves,82
15,The Kid LAROI & Justin Bieber,Stay,57
20,Ed Sheeran,Shivers,48
18,Justin Bieber,Ghost,46
12,Morgan Wallen,Wasted On You,39
2,Harry Styles,As It Was,19
6,Jack Harlow,First Class,18
4,Future Featuring Drake & Tems,Wait For U,15
7,Bad Bunny & Chencho Corleone,Me Porto Bonito,14
19,Bad Bunny,Moscow Mule,14
13,Morgan Wallen,You Proof,13
8,Harry Styles,Late Night Talking,12
5,Nicky Youre & dazy,Sunroof,11
16,Cole Swindell,She Had Me At Heads Carolina,11
9,Post Malone Featuring Doja Cat,I Like You (A Happier Song),10
14,OneRepublic,I Ain't Worried,9
1,Beyonce,Break My Soul,8
11,Luke Combs,The Kind Of Love,8
17,Drake Featuring 21 Savage,Jimmy Cooks,8
3,Steve Lacy,Bad Habit,6
